Name,Type,Calories,Total Fat (g),Carbohydrates (g),Protein (g),Sodium (mg),Price
Big Mac,Burger,530,27,47,24,960,4.59
Quarter Pounder with Cheese,Burger,520,26,42,29,1110,4.36
Double Quarter Pounder with Cheese,Burger,740,40,43,47,1300,5.51
Hamburger,Burger,240,8,32,12,480,1
Cheeseburger,Burger,290,11,33,15,680,1.15
BBQ Ranch Burger,Burger,340,15,37,15,670,1.15
McDouble,Burger,380,17,34,22,840,1.6
Jalapeno Double,Burger,430,23,35,22,1030,2.3
Bacon McDouble,Burger,440,22,35,27,1110,2.3
Artisan Grilled Chicken Sandwich,Chicken,360,6,43,32,930,4.82
Crispy Chicken Delux Sandwich,Chicken,530,22,59,25,1000,4.82
Crispy Chicken Bacon Clubhouse Sandwich,Chicken,750,38,65,36,1720,5.16
McChicken,Chicken,370,17,40,14,650,1.15
Filet-O-Fish,Fish,390,19,39,15,590,4.36
McWrap Chicken & Bacon (Crispy),Chicken,640,32,56,33,1550,4.82
McWrap Chicken & Bacon (Grilled),Chicken,500,19,41,40,1550,4.82
McWrap Chicken & Ranch (Grilled),Chicken ,470,19,42,34,1350,4.82
McWrap Sweet Chili Chicken (Crispy),Chicken,540,23,61,24,1260,4.82
McWrap Sweet Chili Chicken(Grilled),Chicken ,400,10,47,31,1260,4.82
Ranch Snack Wrap (Crispy),Chicken,360,20,32,15,810,1.94
Ranch Snack Wrap (Grilled),Chicken,290,13,25,18,810,1.94
4 Pc. Chicken McNuggets,Chicken,190,12,12,9,360,2.29
Bacon Ranch Salad with Crispy Chicken,Salad,450,26,23,30,1100,5.28
Bacon Ranch Salad with Grilled Chicken,Salad,300,14,9,37,1100,5.28
Southwest Salad with Crispy Chicken,Salad,470,24,40,24,890,5.51
Double Cheeseburger,Burger,430,21,35,24,1040,1.83
Bacon McDouble,Burger,440,22,35,27,1110,2.3
20 Pc. Chicken McNuggets,Chicken,940,59,59,44,1800,5.75
Parfait ,Dessert,150,2,30,4,80,1.15
Side Salad,Salad,15,0,3,1,10,1.83
3 Cookies,Dessert,480,24,63,6,270,1.15
Cone,Dessert,170,4.5,27,5,70,1.15
Small Shake,Dessert,550,16,90,12,160,2.52
Medium Shake,Dessert,700,30,114,15,300,2.98
Large Shake,Dessert,850,23,141,19,380,3.44
Sundae,Dessert,330,9,53,8,170,1.37
Apple Pie,Dessert,250,13,32,2,170,1.01
Small M&M's McFlurry,Dessert,430,15,64,9,120,2.06
M&M's McFlurry,Dessert,650,23,96,13,180,2.75
Cookie,Dessert,160,8,21,2,90,0.45
Small Oreo  McFlurry,Dessert,340,11,53,8,190,2.06
Oreo McFlurry,Dessert,510,17,80,12,280,2.75
Small Fries,Fries,230,11,30,2,130,1.48
Medium Fries,Fries,340,16,44,4,190,1.83
Large Fries,Fries,510,24,67,6,290,2.06
10 Pc. Chicken McNuggets,Chicken,470,30,30,22,900,5.16
40 Pc. Chicken McNuggets,Chicken,1880,118,118,87,3600,10.34
Small Soda,Drink,140,0,0,0,0,1.15
Medium Soda,Drink,200,0,0,0,0,1.48
Large Soda,Drink,280,0,0,0,0,1.71
Small Sweet Tea,Drink,150,0,0,0,10,1.15
Medium Sweet Tea,Drink,180,0,0,0,10,1.48
Small Frappe,Drink ,440,18,64,7,125,2.75
Medium Frappe,Drink,540,22,79,9,160,3.32
Large Frappe,Drink,670,26,97,11,190,3.9
Small Iced Coffee,Drink,130,4.5,22,1,35,1.83
Medium Iced Coffee,Drink,180,7,29,1,50,2.06
Large Iced Coffee,Drink,260,9,43,2,65,2.29
